Location ,Rep,Population Density,Plot No.,Hybrid,AD,SD,ASI,Plant Ht,RL,SL,GY,N/Ears,R/Cob,K/Row,1000GWT
Bulindi,1,60 * 20,1,17,73,73,0,195,0,44,3.9,26,14,32.3,434.3
Bulindi,1,60 * 20,2,2,71,74,3,223,0,59,6.3,37,13.3,35.3,437.6
Bulindi,1,60 * 20,3,9,75,73,-2,207,18,21,5.8,16,13.3,33.3,428.3
Bulindi,1,60 * 20,4,3,75,75,0,223,0,26,2.5,20,12.7,32.3,402.7
Bulindi,1,60 * 20,5,16,75,76,1,206,5,47,2.3,20,0,0,0
Bulindi,1,60 * 20,6,13,70,76,6,224,4,20,3.8,21,14,35.3,344.5
Bulindi,1,60 * 20,7,14,73,73,0,241,0,11,7.8,23,14.7,37.3,416.7
Bulindi,1,60 * 20,8,5,68,69,1,224,4,0,5.8,22,14.7,32.3,464.6
Bulindi,1,60 * 20,9,6,72,74,2,234,9,27,5.8,33,12.7,29,431.1
Bulindi,1,60 * 20,10,4,66,67,1,182,0,16,7,26,12,32.7,347.5
Bulindi,1,60 * 20,11,8,70,73,3,176,6,20,6.4,32,14,30,418.3
Bulindi,1,60 * 20,12,11,68,70,2,203,0,13,6.9,20,12,38.7,410.4
Bulindi,1,60 * 20,13,10,74,77,3,167,5,15,5.7,19,14,27.3,344.5
Bulindi,1,60 * 20,14,12,73,77,4,195,0,9,6.4,24,13.3,36.3,459.7
Bulindi,1,60 * 20,15,18,74,74,0,211,0,18,7.9,24,12.7,34.3,393.2
Bulindi,1,60 * 20,16,15,71,75,4,191,3,15,8.2,27,14,31.7,414.2
Bulindi,1,60 * 20,17,1,68,71,3,218,0,0,9,27,13.3,31.3,455.6
Bulindi,1,60 * 20,18,7,76,72,-4,165,0,4,4.3,9,12.7,8,331.7
Bulindi,2,60 * 20,19,9,74,74,0,231,4,21,2,16,12,32.3,376.3
Bulindi,2,60 * 20,20,7,74,73,-1,187,0,3,2.5,13,14,32.3,415.6
Bulindi,2,60 * 20,21,12,76,72,-4,167,0,0,0.4,2,,,204.4
Bulindi,2,60 * 20,22,17,70,73,3,234,0,40,1.9,14,12,32,370.4
Bulindi,2,60 * 20,23,8,70,73,3,199,0,17,2.6,20,14,29.7,363
Bulindi,2,60 * 20,24,4,76,77,1,171,0,39,1.3,16,12.7,29.7,307.3
Bulindi,2,60 * 20,25,13,75,77,2,153,4,0,2.4,17,13.3,30.3,399.8
Bulindi,2,60 * 20,26,10,73,79,6,168,4,13,2.4,16,13.3,32.7,390.3
Bulindi,2,60 * 20,27,6,71,73,2,201,0,28,4.5,27,12.7,31.7,312.5
Bulindi,2,60 * 20,28,15,73,76,3,197,0,13,3.4,16,13.3,33,363
Bulindi,2,60 * 20,29,3,69,70,1,221,8,12,5.1,19,12,37.3,438.2
Bulindi,2,60 * 20,30,5,69,71,2,223,0,4,6.5,24,14.7,29.3,462.6
Bulindi,2,60 * 20,31,11,70,75,5,234,0,8,5.1,23,12.7,32.7,433.6
Bulindi,2,60 * 20,32,14,76,79,3,164,0,0,5.7,13,12,22,333.9
Bulindi,2,60 * 20,33,2,69,71,2,188,0,3,4.5,23,14.7,33.3,407.5
Bulindi,2,60 * 20,34,1,68,68,0,172,0,11,3.3,17,12.7,28.7,425.1
Bulindi,2,60 * 20,35,18,74,79,5,153,0,26,1.9,14,12,30.3,355
Bulindi,2,60 * 20,36,16,70,73,3,147,0,19,3.1,22,13.3,31,389.4
NaCRRI,1,60 * 20,1,3,72,73,1,200.8,0,0,6.443733333,34,13.3,32,377.81
NaCRRI,1,60 * 20,2,6,64,67,3,269.6,6.896551724,10.34482759,8.795428571,35,12,41.6,501.69
NaCRRI,1,60 * 20,3,10,63,66,3,236,0,4,7.123809524,27,14,38.3,491.73
NaCRRI,1,60 * 20,4,4,67,64,-3,226,0,7.142857143,2.52952381,12,13.3,36.6,471.89
NaCRRI,1,60 * 20,5,5,64,67,3,279.6,0,6.896551724,8.831238095,31,13.3,42.3,502.07
NaCRRI,1,60 * 20,6,13,64,67,3,240.2,0,21.21212121,7.459352381,27,13.3,42.6,542.2
NaCRRI,1,60 * 20,7,18,63,66,3,256.6,0,0,4.905142857,22,15.8,37.6,436.43
NaCRRI,1,60 * 20,8,12,65,67,2,257.4,0,14.28571429,8,36,13.3,42.6,504.08
NaCRRI,1,60 * 20,9,14,63,67,4,223,0,0,4.979809524,30,13.3,40.6,
NaCRRI,1,60 * 20,10,9,67,69,2,251.8,0,10.34482759,4.707809524,33,14,36.6,460.22
NaCRRI,1,60 * 20,11,15,63,67,4,235.2,0,2.857142857,7.018209524,38,14,40.6,440.77
NaCRRI,1,60 * 20,12,2,66,64,-2,250.8,0,0,6.304914286,22,14,46,472.9
NaCRRI,1,60 * 20,13,17,63,66,3,240.4,0,18.75,6.628571429,28,11.3,43.3,451.74
NaCRRI,1,60 * 20,14,16,65,68,3,248.2,0,2.631578947,6.77592381,38,12,35.3,404.66
NaCRRI,1,60 * 20,15,7,64,67,3,289.6,0,25.92592593,6.885790476,25,13.3,45.3,476.22
NaCRRI,1,60 * 20,16,8,63,64,1,284.2,19.35483871,41.93548387,5.302857143,31,13.3,43,446.11
NaCRRI,1,60 * 20,17,11,66,68,2,260,3.846153846,15.38461538,8.864,28,14,48,476.78
NaCRRI,1,60 * 20,18,1,67,69,2,257.4,0,41.93548387,4.208152381,27,15.3,37.6,462.81
NaCRRI,2,60 * 20,19,11,67,69,2,281.2,7.407407407,37.03703704,8.162742857,26,14,46.6,459.87
NaCRRI,2,60 * 20,20,10,65,67,2,253.2,0,10,5.6416,23,14,41.3,491.61
NaCRRI,2,60 * 20,21,3,69,72,3,214.8,0,23.07692308,4.352,28,14,30.6,567.39
NaCRRI,2,60 * 20,22,15,63,66,3,237.2,0,6.451612903,6.238019048,31,16,40.3,463.29
NaCRRI,2,60 * 20,23,7,64,67,3,280.8,2.631578947,7.894736842,11.26857143,39,12.6,40,484.69
NaCRRI,2,60 * 20,24,2,65,68,3,266.4,0,3.225806452,8.2464,29,14,45.3,470.45
NaCRRI,2,60 * 20,25,16,66,68,2,243.6,0,0,5.621942857,32,12.6,36.3,372.34
NaCRRI,2,60 * 20,26,5,67,69,2,260.2,0,3.846153846,8.842514286,30,13.3,46.6,449.42
NaCRRI,2,60 * 20,27,17,63,66,3,254.2,0,3.03030303,8.747885714,32,12,42.6,470.08
NaCRRI,2,60 * 20,28,4,67,69,2,222.8,0,9.090909091,4.403809524,28,14,35.3,414.08
NaCRRI,2,60 * 20,29,14,63,66,3,235.2,0,9.375,5.187047619,36,12.6,37.3,431.85
NaCRRI,2,60 * 20,30,12,64,67,3,246.8,0,5,6.460952381,23,14,40,511.59
NaCRRI,2,60 * 20,31,18,64,66,2,234.4,0,0,5.235809524,22,14.6,39,422.2
NaCRRI,2,60 * 20,32,13,66,68,2,234.4,2.941176471,5.882352941,8.739352381,32,14.6,37.3,411.56
NaCRRI,2,60 * 20,33,8,64,67,3,258,0,12.90322581,7.706819048,35,14,43,499.78
NaCRRI,2,60 * 20,34,9,69,71,2,244.4,0,16,6.234666667,23,14,43,453.61
NaCRRI,2,60 * 20,35,1,65,70,5,226,3.448275862,31.03448276,5.869714286,28,14,40.3,465.33
NaCRRI,2,60 * 20,36,6,65,68,3,260.8,0,14.70588235,8.358857143,31,13.3,34,369.25
NaSARRI,1,60 * 20,1,11,68,69,1,238,29,10,,25,16,35.7,265.6
NaSARRI,1,60 * 20,2,16,66,67,1,225,12,6,,34,11.3,30.3,246.5
NaSARRI,1,60 * 20,3,9,69,71,2,215,17,8,,14,14,31,242
NaSARRI,1,60 * 20,4,4,67,71,4,180,20,10,,22,13.3,25.7,226.7
NaSARRI,1,60 * 20,5,15,64,64,0,195,17,2,,25,14,30,236.8
NaSARRI,1,60 * 20,6,7,64,71,7,218,20,0,,28,13.3,32,237.8
NaSARRI,1,60 * 20,7,2,65,72,7,225,31,9,,23,13.3,32,252.1
NaSARRI,1,60 * 20,8,17,66,66,0,240,35,5,,19,12,30.7,236.5
NaSARRI,1,60 * 20,9,6,66,68,2,251,18,21,,24,12.7,39,294.8
NaSARRI,1,60 * 20,10,1,68,70,2,211,48,14,,15,13.3,31.7,246.7
NaSARRI,1,60 * 20,11,10,64,64,0,185,45,3,,32,13.3,31.7,262.3
NaSARRI,1,60 * 20,12,14,63,63,0,206,8,8,,34,14.7,42.3,255.4
NaSARRI,1,60 * 20,13,8,64,65,1,217,28,14,,28,14,40.3,251.2
NaSARRI,1,60 * 20,14,18,66,68,2,214,13,7,,20,13.3,34.7,274.6
NaSARRI,1,60 * 20,15,5,65,68,3,241,54,10,,18,14.7,31.7,262
NaSARRI,1,60 * 20,16,3,70,76,6,175,36,14,,3,14,23.3,214.9
NaSARRI,1,60 * 20,17,13,65,69,4,200,85,12,,17,13.3,33.7,269.5
NaSARRI,1,60 * 20,18,12,70,68,-2,227,83,0,,31,14.7,34,280.9
NaSARRI,2,60 * 20,19,10,66,67,1,195,38,16,,10,14,28.7,217.6
NaSARRI,2,60 * 20,20,11,71,76,5,210,92,17,,19,14,27.3,219.7
NaSARRI,2,60 * 20,21,18,66,68,2,192,15,15,,23,13.3,26,215.9
NaSARRI,2,60 * 20,22,12,68,69,1,213,33,3,,27,14,34.7,272.1
NaSARRI,2,60 * 20,23,4,70,76,6,170,6,8,,8,12.7,19.7,234.1
NaSARRI,2,60 * 20,24,6,65,68,3,205,19,19,,25,12,39,284.5
NaSARRI,2,60 * 20,25,14,63,63,0,206,10,10,,29,12.7,31,266.7
NaSARRI,2,60 * 20,26,9,69,72,3,163,33,33,,14,14,29.3,240.4
NaSARRI,2,60 * 20,27,13,69,74,5,78,23,46,,16,14,29.3,298.6
NaSARRI,2,60 * 20,28,16,69,72,3,189,16,37,,16,11.3,30,247.2
NaSARRI,2,60 * 20,29,17,67,73,6,190,33,33,,29,12,35,233.8
NaSARRI,2,60 * 20,30,5,67,74,7,188,40,40,,15,13.3,27.3,212.7
NaSARRI,2,60 * 20,31,8,65,72,7,184,29,32,,21,14,29.3,193.2
NaSARRI,2,60 * 20,32,15,66,69,3,168,17,13,,19,13.3,37,277.4
NaSARRI,2,60 * 20,33,3,72,74,2,155,0,71,,4,14.7,27,228.3
NaSARRI,2,60 * 20,34,1,68,68,0,188,0,0,,6,13.3,31.3,308.3
